source,geo_id,geo_level,country_code,metric,x,n,share,lo,hi
claude_ai,NZ-AUK,subregion,NZ,work_share,822.0,1822.0,0.45115257958287597,0.4284300570811596,0.4740806535960426
claude_ai,NZ-CAN,subregion,NZ,automation_share,85.0,217.0,0.391705069124424,0.3291811335582157,0.4579966445415626
claude_ai,NZ-CAN,subregion,NZ,coursework_share,0.0,224.0,0.0,9.745569067502656e-19,0.01686083665142801
claude_ai,NZ-CAN,subregion,NZ,success_rate,179.0,235.0,0.7617021276595745,0.7032967841223546,0.8116888800165559
claude_ai,NZ-CAN,subregion,NZ,work_share,86.0,224.0,0.38392857142857145,0.3227043037796648,0.44906696187155953
claude_ai,NZ-WGN,subregion,NZ,automation_share,108.0,292.0,0.3698630136986301,0.3165140558533558,0.4265917142614623
claude_ai,NZ-WGN,subregion,NZ,coursework_share,15.0,303.0,0.04950495049504951,0.030226780802314612,0.08006334934952919
claude_ai,NZ-WGN,subregion,NZ,success_rate,228.0,303.0,0.7524752475247525,0.7009212746544886,0.7977073337219505
claude_ai,NZ-WGN,subregion,NZ,work_share,128.0,303.0,0.42244224422442245,0.36813588602523806,0.4786906198983395
claude_ai,OM,country,OM,automation_share,180.0,346.0,0.5202312138728323,0.46765643152763675,0.5723616795260515
claude_ai,OM,country,OM,coursework_share,53.0,359.0,0.14763231197771587,0.11467211286952331,0.18805392515919225
claude_ai,OM,country,OM,success_rate,243.0,359.0,0.6768802228412256,0.6268500061748736,0.7231649865933205
claude_ai,OM,country,OM,work_share,174.0,359.0,0.48467966573816157,0.43341788461913044,0.5362658561647268
claude_ai,OM-MA,subregion,OM,automation_share,172.0,331.0,0.5196374622356495,0.4658972281657192,0.5729270995163848
claude_ai,OM-MA,subregion,OM,coursework_share,47.0,344.0,0.13662790697674418,0.10432469468832488,0.17695736013203012
claude_ai,OM-MA,subregion,OM,success_rate,232.0,344.0,0.6744186046511628,0.6232099032326466,0.721774710453583
claude_ai,OM-MA,subregion,OM,work_share,167.0,344.0,0.48546511627906974,0.4331021281058922,0.538149154086922
claude_ai,PA,country,PA,automation_share,266.0,539.0,0.4935064935064935,0.4514940083150008,0.535610885635647
claude_ai,PA,country,PA,coursework_share,79.0,558.0,0.14157706093189965,0.11509700956299504,0.17295855627620235
claude_ai,PA,country,PA,success_rate,382.0,559.0,0.6833631484794276,0.6436613342641926,0.7205619214439855
claude_ai,PA,country,PA,work_share,262.0,558.0,0.46953405017921146,0.4284740253043475,0.5110106977919844
claude_ai,PA-8,subregion,PA,automation_share,203.0,426.0,0.4765258215962441,0.4295187685709577,0.5239524636224828
claude_ai,PA-8,subregion,PA,coursework_share,54.0,443.0,0.12189616252821671,0.09463791441069214,0.15565570194015793
claude_ai,PA-8,subregion,PA,success_rate,302.0,444.0,0.6801801801801802,0.6354094555632949,0.7218597217529703
claude_ai,PA-8,subregion,PA,work_share,208.0,443.0,0.46952595936794583,0.42351277293587136,0.5160631304715105
claude_ai,PE,country,PE,automation_share,1530.0,3284.0,0.4658952496954933,0.44888373260478803,0.4829864645482622
claude_ai,PE,country,PE,coursework_share,702.0,3354.0,0.20930232558139536,0.19587089153335385,0.22339891559513006
claude_ai,PE,country,PE,success_rate,2414.0,3354.0,0.7197376267143709,0.704292833365158,0.7346796303746442
claude_ai,PE,country,PE,work_share,1535.0,3354.0,0.4576624925462135,0.44085955839564034,0.4745623006938414
claude_ai,PE-LMA,subregion,PE,automation_share,1071.0,2287.0,0.46829908176650636,0.447918149099361,0.4887863354010078
