source,geo_id,metric,parent_id,x,n,share,x_rest,n_rest,share_rest,diff,diff_lo,diff_hi
claude_ai,BG-22,work_share,BG,487.0,974.0,0.5,282.0,595.0,0.47394957983193275,0.026050420168067245,-0.024898309841854815,0.0769991501779893
claude_ai,BH,automation_share,GLOBAL,111.0,238.0,0.46638655462184875,441458.0,969272.0,0.4554531648494953,0.010933389772353475,-0.052454619896868226,0.07432139944157518
claude_ai,BH,coursework_share,GLOBAL,22.0,258.0,0.08527131782945736,124426.0,999444.0,0.12449521934195412,-0.03922390151249676,-0.07330959786184135,-0.005138205163152165
claude_ai,BH,success_rate,GLOBAL,185.0,258.0,0.7170542635658915,699200.0,999742.0,0.6993804401535596,0.017673823412331924,-0.037296952898161054,0.0726445997228249
claude_ai,BH,work_share,GLOBAL,133.0,258.0,0.5155038759689923,452210.0,999444.0,0.45246156863215947,0.0630423073368328,0.002051703349294963,0.12403291132437064
claude_ai,BJ,automation_share,GLOBAL,257.0,532.0,0.4830827067669173,441312.0,968978.0,0.45544068079977046,0.02764202596714682,-0.014833611822735432,0.07011766375702908
claude_ai,BJ,coursework_share,GLOBAL,139.0,556.0,0.25,124309.0,999146.0,0.12441525062403293,0.1255847493759671,0.08958582656258512,0.16158367218934905
claude_ai,BJ,success_rate,GLOBAL,391.0,556.0,0.7032374100719424,698994.0,999444.0,0.6993828568684188,0.0038545532035235697,-0.034129027226469016,0.041838133633516156
claude_ai,BJ,work_share,GLOBAL,246.0,556.0,0.44244604316546765,452097.0,999146.0,0.45248342084139853,-0.01003737767593088,-0.051333911787703135,0.03125915643584137
claude_ai,BO,automation_share,GLOBAL,327.0,705.0,0.46382978723404256,441242.0,968805.0,0.4554497551106776,0.008380032123364967,-0.028445557005907944,0.04520562125263788
claude_ai,BO,coursework_share,GLOBAL,160.0,728.0,0.21978021978021978,124288.0,998974.0,0.12441565045736926,0.09536456932285052,0.06527654516832254,0.1254525934773785
claude_ai,BO,success_rate,GLOBAL,543.0,728.0,0.7458791208791209,698842.0,999272.0,0.699351127620908,0.046527993258212885,0.014889179009288857,0.07816680750713692
claude_ai,BO,work_share,GLOBAL,311.0,728.0,0.4271978021978022,452032.0,998974.0,0.4524962611639542,-0.025298458966152015,-0.06124585026363383,0.010648932331329797
claude_ai,BO-L,automation_share,BO,193.0,398.0,0.4849246231155779,134.0,307.0,0.4364820846905538,0.048442538425024106,-0.025643391397310228,0.12252846824735844
claude_ai,BO-L,coursework_share,BO,93.0,425.0,0.2188235294117647,67.0,303.0,0.22112211221122113,-0.002298582799456439,-0.06336186692688217,0.05876470132796929
claude_ai,BO-L,success_rate,BO,312.0,425.0,0.7341176470588235,231.0,303.0,0.7623762376237624,-0.028258590564938846,-0.09198577133619393,0.035468590206316236
claude_ai,BO-L,work_share,BO,186.0,425.0,0.4376470588235294,125.0,303.0,0.41254125412541254,0.02510580469811685,-0.04767661205598109,0.09788822145221479
claude_ai,BR,automation_share,GLOBAL,11902.0,24846.0,0.47903082991225954,429667.0,944664.0,0.4548357934673069,0.024195036444952633,0.017902621474404676,0.03048745141550059
claude_ai,BR,coursework_share,GLOBAL,1451.0,25545.0,0.056801722450577415,122997.0,974157.0,0.12625993551347472,-0.06945821306289732,-0.07237231552195128,-0.06654411060384335
claude_ai,BR,success_rate,GLOBAL,17807.0,25548.0,0.6970017222483169,681578.0,974452.0,0.699447484329654,-0.002445762081337066,-0.0081540901574522,0.0032625659947780666
claude_ai,BR,work_share,GLOBAL,14593.0,25545.0,0.5712663926404384,437750.0,974157.0,0.449362885038038,0.12190350760240043,0.11575465634957276,0.12805235885522812
